29-20,素手
29-90,[格闘]アベンジャー
29-91,[格闘]ダークカタール
29-92,[格闘]カタール
29-93,[格闘]ジャマダル
29-94,[格闘]エグゾセ
29-95,[格闘]ダーククロー
29-96,[格闘]クロー
29-97,[格闘]ミスリルクロー
29-98,[格闘]サーメットクロー
29-99,[格闘]セスタス
29-100,[格闘]リザードセスタス
29-101,[格闘]ポイズンセスタス
29-102,[格闘]ダークナックル
29-103,[格闘]ブロンズナックル
29-104,[格闘]ブラスナックル
29-105,[格闘]メタルナックル
29-106,[格闘]ミスリルナックル
29-107,[格闘]ケーニヒスナックル
29-108,[格闘]ダイアナックル
29-109,[格闘]マノプル
29-110,[格闘]ゴールドパタ
29-111,[格闘]パタ
29-112,[格闘]ボーンパタ
29-113,[格闘]キャットバグナウ
29-114,[格闘]ブラスバグナウ
29-115,[格闘]バグナウ
29-116,[格闘]ルーンバグナウ(ﾙｰﾝ)
136-116,[格闘]スファライ(ﾚﾘｯｸ5)
149-7,[格闘]アダーガ
165-119,[格闘]サインティ
169-109,[格闘]ダークサインティ
171-50,[格闘]アダマンサインティ
172-3,[格闘]ブラックアダーガ
173-67,[格闘]ハデスサインティ
30-2,[短剣]バリアントナイフ
30-3,[短剣]ダークナイフ
30-4,[短剣]ブロンズナイフ
30-5,[短剣]ナイフ
30-6,[短剣]ミスリルナイフ
30-7,[短剣]サーメットナイフ
30-8,[短剣]ミセリコルデ
30-9,[短剣]ブロンズダガー
30-10,[短剣]ブラスダガー
30-11,[短剣]ダガー
30-12,[短剣]ミスリルダガー
30-13,[短剣]ダークバゼラード
30-14,[短剣]バゼラード
30-15,[短剣]ミスリルバゼラード
30-16,[短剣]ダークククリ
30-17,[短剣]ククリ
30-18,[短剣]ミスリルククリ
30-19,[短剣]サーメットククリ
30-20,[短剣]ハートスナッチャー
30-21,[短剣]パリーングナイフ
30-22,[短剣]連邦魔戦士制式短剣
30-23,[短剣]クリス
30-24,[短剣]トリプルダガー
30-25,[短剣]ボーンナイフ
98-54,[短剣]カルド
136-102,[短剣]マンダウ(ﾚﾘｯｸ5)
136-114,[短剣]名称不明
147-122,[短剣]ハルパー
163-99,[短剣]ジャンビア
172-2,[短剣]パラディウムダガー
173-26,[短剣]御方庖丁
175-3,[短剣]キマイラジャンビア
30-26,[片手剣]クリシュマルド
30-27,[片手剣]スモールソード
30-28,[片手剣]ビルボ
30-29,[片手剣]准銃士制式小剣
30-30,[片手剣]ジュワユース
30-31,[片手剣]シュレイガー
30-32,[片手剣]デュエルレイピア
30-33,[片手剣]デーゲン
30-34,[片手剣]ミスリルデーゲン
30-35,[片手剣]エペ
30-36,[片手剣]フルーレ
30-37,[片手剣]シュヴェールト
30-38,[片手剣]近衛騎士制式帯剣
30-94,[片手剣]スパタ
30-95,[片手剣]ゴールドソード
30-96,[片手剣]ロングソード
30-97,[片手剣]ナイトソード
30-98,[片手剣]サーベル
30-99,[片手剣]ルーンブレード(ﾙｰﾝ)
30-100,[片手剣]サパラ
30-101,[片手剣]シミター
30-102,[片手剣]タルワール
30-103,[片手剣]ハンガー
30-104,[片手剣]リディル
30-105,[片手剣]ダークファルシオン
30-106,[片手剣]プラチナカトラス
30-107,[片手剣]ファルシオン
30-108,[片手剣]カトラス
30-109,[片手剣]サイフォス
30-110,[片手剣]ブラスサイフォス
30-111,[片手剣]グラディウス
30-112,[片手剣]ダークソード
30-113,[片手剣]ブロンズソード
