28-7,装備なし
28-8,レザーベスト
28-9,ブレストプレート
28-10,チュニック
28-11,忍上衣
28-12,チェーンメイル
28-13,リザードジャーキン
28-14,ラプトルジャーキン
28-15,初期装備
28-16,腹当
28-17,クローク
28-18,シルククローク
28-19,王国従士制式鎖帷子
28-20,王国騎士制式鎖帷子
28-21,パッデッドアーマー
28-22,ブロンズハーネス
28-23,ボーンハーネス
28-24,拳法着
28-25,ウールローブ
28-26,連邦軍師制式コート
28-27,ローブ
28-28,ダブレット
28-29,ダークキュイラス
28-30,ガンビスン
28-31,バトルジュポン
28-32,鋼鉄銃士隊制式胴鎧
28-33,百人隊長鎖帷子
28-34,ガビアルメイル
28-35,スケイルメイル
28-36,ミスリルブレスト
28-38,種族装備
28-39,アダマンブレスト
28-40,カーディナルベスト
28-41,スコピオハーネス
28-42,デーモンハーネス
28-43,ロードキュイラス
28-44,柔術着
28-45,王国騎士制式服
28-46,アクトン
28-47,ホーバージョン
28-48,バーニー
28-49,戦忍着
28-50,アースダブレット
28-51,ブリガンダイン
93-5,ジュストコール
93-6,ブラッククローク
93-7,バーミリオクローク
93-8,ブルーコタルディ
93-9,ブラックコタルディ
93-10,ファイターロリカ(AF1)
93-11,テンプルシクラス(AF1)
93-12,ヒーラーブリオー(AF1)
93-13,ウィザードコート(AF1)
93-14,ワーロックタバード(AF1)
93-15,ローグベスト(AF1)
95-92,ガラントサーコート(AF1)
95-93,カオスキュイラス(AF1)
95-94,ビーストジャック(AF1)
95-95,コラルジュストコル(AF1)
95-96,ハンタージャーキン(AF1)
98-31,明珍胴丸(AF1)
98-32,乱波鎖帷子(AF1)
98-33,ドラケンメイル(AF1)
98-34,エボカーダブレット(AF1)
157-58,メガズジュバ(AF1)
160-92,コルセアフラック(AF1)
163-92,パペトリトベ(AF1)
118-122,タイガージャーキン
118-123,アイアンスケイル
119-100,スチールスケイル
119-101,クァールジャーキン
119-102,アダマンキュイラス
119-103,コーラルハーネス
119-104,ノーブルチュニック
119-105,ホーバーク
