86-32,[格闘]コンボ
86-33,[格闘]タックル
86-34,[格闘]短勁
86-35,[格闘]バックハンドブロー
86-36,[格闘]乱撃
86-37,[格闘]スピンアタック
86-38,[格闘]空鳴拳
106-37,[格闘]双竜脚
106-38,[格闘]夢想阿修羅拳
141-52,[格闘]ファイナルヘブン

86-39,[短剣]ワスプスティング
86-40,[短剣]ガストスラッシュ
86-41,[短剣]シャドーステッチ
86-42,[短剣]バイパーバイト
86-43,[短剣]サイクロン
86-44,[短剣]エナジースティール
86-45,[短剣]エナジードレイン
86-46,[短剣]ダンシングエッジ
106-39,[短剣]シャークバイト
106-40,[短剣]エヴィサレーション
141-53,[短剣]マーシーストローク

86-23,[片手剣]ファストブレード
86-24,[片手剣]バーニングブレード
86-25,[片手剣]レッドロータス
86-28,[片手剣]フラットブレード
86-26,[片手剣]シャインブレード
86-27,[片手剣]セラフブレード
86-29,[片手剣]サークルブレード
86-30,[片手剣]スピリッツウィズイン
86-31,[片手剣]ボーパルブレード
106-35,[片手剣]スウィフトブレード
106-36,[片手剣]サベッジブレード
141-51,[片手剣]ナイツオブラウンド

86-61,[片手棍]シャインストライク
86-62,[片手棍]セラフストライク
86-63,[片手棍]ブレインシェイカー
86-64,[片手棍]スターライト
86-65,[片手棍]ムーンライト
86-66,[片手棍]スカルブレイカー
86-67,[片手棍]トゥルーストライク
86-68,[片手棍]ジャッジメント
106-45,[片手棍]ヘキサストライク
106-46,[片手棍]ブラックヘイロー
141-56,[片手棍]ランドグリース

86-47,[片手斧]レイジングアクス
86-48,[片手斧]スマッシュ
86-49,[片手斧]ラファールアクス
86-50,[片手斧]アバランチアクス
86-51,[片手斧]スピニングアクス
86-52,[片手斧]ランページ
86-53,[片手斧]カラミティ
106-41,[片手斧]ミストラルアクス
106-42,[片手斧]デシメーション
141-54,[片手斧]オンスロート

106-55,[片手刀]臨
106-56,[片手刀]烈
106-57,[片手刀]滴
106-58,[片手刀]凍
106-59,[片手刀]地
106-60,[片手刀]影
106-61,[片手刀]迅
106-62,[片手刀]天
106-63,[片手刀]空
141-61,[片手刀]生者必滅

86-76,[両手剣]ハードスラッシュ
86-77,[両手剣]パワースラッシュ
86-78,[両手剣]フロストバイト
86-79,[両手剣]フリーズバイト
86-80,[両手剣]ショックウェーブ
86-81,[両手剣]クレセントムーン
86-82,[両手剣]シックルムーン
106-49,[両手剣]スピンスラッシュ
106-50,[両手剣]グランドストライク
141-58,[両手剣]スカージ

86-90,[両手棍]ヘヴィスイング
86-91,[両手棍]ロッククラッシャー
86-92,[両手棍]アースクラッシャー
86-93,[両手棍]スターバースト
86-94,[両手棍]サンバースト
86-95,[両手棍]シェルクラッシャー
86-96,[両手棍]フルスイング
106-53,[両手棍]スピリットテーカー
106-54,[両手棍]レトリビューション
141-60,[両手棍]タルタロスゲート

86-69,[両手斧]シールドブレイク
86-70,[両手斧]アイアンテンペスト
86-71,[両手斧]シュトルムヴィント
86-72,[両手斧]アーマーブレイク
86-73,[両手斧]キーンエッジ
86-74,[両手斧]ウェポンブレイク
86-75,[両手斧]レイジングラッシュ
106-47,[両手斧]フルブレイク
106-48,[両手斧]スチールサイクロン
141-57,[両手斧]メタトロントーメント

106-64,[両手刀]壱之太刀・燕飛
106-65,[両手刀]弐之太刀・鋒縛
106-66,[両手刀]参之太刀・轟天
106-67,[両手刀]四之太刀・陽炎
106-68,[両手刀]五之太刀・陣風
106-69,[両手刀]六之太刀・光輝
106-70,[両手刀]七之太刀・雪風
106-71,[両手刀]八之太刀・月光
106-72,[両手刀]九之太刀・花車
141-62,[両手刀]零之太刀・回天

86-54,[両手鎌]スライス
86-55,[両手鎌]ダークハーベスト
86-56,[両手鎌]シャドーオブデス
86-57,[両手鎌]ナイトメアサイス
86-58,[両手鎌]スピニングサイス
86-59,[両手鎌]ボーパルサイス
86-60,[両手鎌]ギロティン
106-43,[両手鎌]クロスリーパー
106-44,[両手鎌]スパイラルヘル
141-55,[両手鎌]カスタロフィ

86-83,[両手槍]ダブルスラスト
86-84,[両手槍]サンダースラスト
86-85,[両手槍]ライデンスラスト
86-86,[両手槍]足払い
86-87,[両手槍]ペンタスラスト
86-88,[両手槍]ボーパルスラスト
86-89,[両手槍]スキュアー
106-51,[両手槍]大車輪
106-52,[両手槍]インパルスドライブ
141-59,[両手槍]ゲイルスコルグ

86-106,[弓術]フレイミングアロー
86-107,[弓術]ピアシングアロー
86-108,[弓術]ダリングアロー
86-110,[弓術]サイドワインダー
106-88,[弓術]ブラストアロー
106-89,[弓術]アーチングアロー
106-90,[弓術]エンピリアルアロー
141-63,[弓術]南無八幡

86-111,[射撃]ホットショット
86-112,[射撃]スプリットショット
86-113,[射撃]スナイパーショット
86-115,[射撃]スラッグショット
106-91,[射撃]ブラストショット
106-92,[射撃]ヘヴィショット
106-93,[射撃]デトネーター
141-64,[射撃]カラナック
