52-57,装備なし
52-58,レザーグローブ
52-59,ガントレット
52-60,ミトン
52-61,忍手甲
52-62,チェーンミトン
52-63,リザードグローブ
52-64,ラプトルグローブ
52-65,初期装備
52-66,篭手
52-67,リネンミトン
52-68,ブラックミトン
52-69,王国従士制式鎖手袋
52-70,王国騎士制式鎖手袋
52-71,アイアンミトン
52-72,ブロンズミトン
52-73,ボーンミトン
52-74,手甲
52-75,ウールカフス
52-76,連邦軍師制式袖飾り
52-77,カフス
52-78,グローブ
52-79,ダークガントレ
52-80,ブレーサー
52-81,バトルブレーサー
52-82,鋼鉄銃士隊制式篭手
52-83,百人隊長篭手
52-84,ガビアルフィンガー
52-85,スケイルフィンガー
52-86,ミスリルガントレ
52-87,種族装備
94-65,ファイターマフラ(AF1)
94-66,テンプルグローブ(AF1)
94-67,ヒーラーミトン(AF1)
94-68,ウィザードグローブ(AF1)
94-69,ワーロックグローブ(AF1)
94-70,ローグアームレット(AF1)
96-94,ガラントガントレ(AF1)
96-95,カオスガントレット(AF1)
96-96,ビーストグローブ(AF1)
96-97,コラルカフス(AF1)
96-98,ハンターブレーサー(AF1)
99-66,明珍筒篭手(AF1)
99-67,乱波手甲(AF1)
99-68,ドラケンフィンガー(AF1)
99-69,エボカーブレーサー(AF1)
163-70,メガスハズバンド(AF1)
160-103,コルセアガントリー(AF1)
162-78,パペトリダスタナ(AF1)
119-36,タイガーグローブ
119-37,アイアンフィンガー
121-78,スチールフィンガー
121-79,クァールグローブ
121-80,アダマンガントレ
121-81,コーラルミトン
121-82,ノーブルミトン
121-83,シックマフラ
121-84,羅漢手甲
121-85,ドラゴンフィンガー
124-124,羅刹手甲
124-125,クリムゾンフィンガ
124-126,アダマンマフラ
124-127,オーガグローブ
125-0,ケーニヒハントシュ
125-63,ウォーグローブ
127-55,夜叉手甲
127-56,青龍篭手
127-57,ヘカトンミトン
127-58,エラントカフス
127-59,フィッシャグローブ
127-60,チョコボグローブ
127-61,バガボンドグローブ 
130-7,フィールドグローブ
130-8,修羅篠篭手
130-9,ゼニスミトン
130-10,カラパスガントレ
130-11,ダスクグローブ
130-12,ドラゴンミトン
134-94,ウォリアーマフラ(AF2)
134-95,メレーグローブ(AF2)
134-96,クレリクミトン(AF2)
134-97,ソーサラーグローブ(AF2)
134-98,デュエルグローブ(AF2)
134-99,アサシンアムレット(AF2)
134-100,ヴァラーガントレ(AF2)
134-101,アビスガントレット(AF2)
134-102,モンスターグローブ(AF2)
134-103,バードカフス(AF2)
134-104,スカウトブレーサー(AF2)
134-105,早乙女筒篭手(AF2)
134-106,甲賀手甲(AF2)
134-107,ウィルムフィンガー(AF2)
134-108,サマナーブレーサー(AF2)
134-109,スコピオガントレ
134-110,オステアカフス 
138-88,木工軍手 革工手袋
138-89,耐熱ミトン
145-9,？？？ミトン
145-10,シェードミトン
145-11,ガリシュミトン
145-12,シアーミトン
145-13,？？？グローブ
145-14,ノクトグローブ
146-17,バイソンリスト
146-18,シャイルゲージ
146-62,バローネマノポラ
146-101,イギラマニラ
148-35,アイゼンヘンツェ
149-57,ロードガントレット
150-81,八幡篭手
150-82,ブレスドミトン
151-64,ワイズグローブ
153-35,ユニコンミトン
153-72,トレダーカフス
154-83,アルミナムフル
155-11,ブラックガドリング
157-112,ナシラゲージ
158-52,ホマムマノポラ
158-108,黒トレダー手？
159-15,クロウブレーサー
154-21,ハイドラムフル 
160-83,ハイドラブレーサー
163-71,シパーヒダスタナ
163-72,ジャリダバズバンド
166-62,アミールコッルク
166-63,ペルワンダスタナ
166-64,イギトゲージ
174-110,アレスガントレット
174-111,スカディバズバンド
176-22,薄金篭手
176-23,マルドゥクダスタナ
176-24,モリガンカフス
182-32,デナリリスト
183-32,アスカルマノポラ
183-33,ゴリアードカフス
185-112,シャドウガントレ
186-21,シャドウカフス
134-111,無し
195-90,Unknown
196-98,???
198-89,Unknown
198-90,Unknown
199-20,Unknown
199-21,Unknown
200-101,Unknown
201-46,Unknown
207-48,Unknown
214-46,Unknown
214-47,Unknown
214-48,Unknown
