55-83,装備なし
55-84,[投擲]フレイムブーメラン
55-85,[投擲]ブーメラン
55-86,[投擲]ライジングサン
55-87,[投擲]チャクラム
55-88,[投擲]円月輪
55-89,[投擲]グレネード
55-90,[投擲]十字手裏剣
150-11,[投擲]風魔手裏剣
148-118,[投擲]銛
148-117,[投擲]まさかり
55-91,[弓]ジェンダワ
55-92,[弓]ロクスリーボウ
55-93,[弓]ウォーボウ
55-94,[弓]グレートボウ
55-95,[弓]バトルボウ
55-96,[弓]パワーボウ
55-97,[弓]ロングボウ
55-98,[弓]ラピッドボウ
55-99,[弓]名称不明06
55-100,[弓]セルフボウ
55-101,[弓]カマン
55-102,[弓]名称不明09
55-103,[弓]ラップドボウ
55-104,[弓]義勇兵の弓
55-105,[弓]エクスパンジャー
55-106,[弓]スピードボウ
55-107,[弓]ハンティングボウ
55-108,[弓]コンポジットボウ
55-109,[弓]名称不明16
55-110,[弓]ショートボウ
55-111,[弓]ルーンボウ(ﾙｰﾝ)
121-107,[弓]重藤弓
145-34,[弓]与一の弓
166-124,[弓]ラミアンカマン
55-112,[射撃]ヘヴィクロスボウ
55-113,[射撃]クロスボウ
55-114,[射撃]アルバレスト
55-115,[射撃]ザンバーハ
55-116,[射撃]ライトクロスボウ
55-117,[射撃]根来式鉄砲
55-118,[射撃]ヘルファイア
55-119,[射撃]ハーケンビュクゼ
55-120,[射撃]バンティットガン
55-121,[射撃]リピーティングボウ
55-122,[射撃]パワークロスボウ
55-123,[射撃]カルバリン
138-106,[射撃]コフィンメーカー
145-33,[射撃]アナイアレイター(ﾚﾘｯｸ5)
164-3,[射撃]ヘキサガン
169-125,[射撃]ダークヘキサガン
183-90,[射撃]マーズヘキサガン
55-124,[管楽器]トラベルシエール
55-125,[管楽器]フルート
55-126,[管楽器]ピッコロ
55-127,[管楽器]フェアリーピッコロ
56-0,[管楽器]ホルン
56-1,[管楽器]コルネット
56-2,[管楽器]クラムホルン
56-3,[管楽器]ゲムショルン
138-107,[管楽器]ギャッラルホルン(ﾚﾘｯｸ5)
56-4,[弦楽器]エボニーハープ
56-5,[弦楽器]名称不明
56-6,[弦楽器]ラミアの竪琴
56-7,[弦楽器]メープルハープ
56-8,[弦楽器]ナースメイドハープ
56-9,[弦楽器]神代の竪琴
56-10,[弦楽器]ハープ
56-11,[弦楽器]ローズハープ
56-12,[弦楽器]嘆きの竪琴
56-13,[弦楽器]キタラアングリカ
